Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,HYY28,086,Silverado EV RST (3rd Color),HW EVDollar Tree/Family Dollar Exclusive,6/10,,2025_HW_EVDollar_Tree_Family_Dollar_161.jpg,,,
2025,HYX31,087,'70 Plymouth Superbird,HW Art Cars,7/10,,2025_HW_Art_Cars_162.jpg,,,
2025,HYX96,087,'70 Plymouth Superbird (2nd Color),HW Art Cars,7/10,,2025_HW_Art_Cars_163.jpg,,,
2025,HYX32,088,Ain't Fare,HW Art Cars,8/10,,2025_HW_Art_Cars_164.jpg,,,
2025,HYX33,089,Stockar,X-Raycers,7/10,,2025_X-Raycers_165.jpg,,,
2025,,089,Stockar (2nd Color),X-Raycers,7/10,,2025_X-Raycers_166.jpg,,,
2025,HYW23,090,Gordon Murray Automotive T.33,Factory FreshNew for 2025!,4/5,,2025_Factory_FreshNew_for_2025!_167.jpg,,,
2025,JBB80,090,Gordon Murray Automotive T.33 (2nd Color),Factory FreshNew for 2025!,4/5,,2025_Factory_FreshNew_for_2025!_168.jpg,,,
2025,HYX34,091,Cruise Bruiser,HW Reverse Rake,1/5,,2025_HW_Reverse_Rake_169.jpg,,,
2025,HYX77,091,Cruise Bruiser (2nd Color),HW Reverse Rake,1/5,,2025_HW_Reverse_Rake_170.jpg,,,
2025,HYX35,092,Dune It Up,Track Aces,2/5,,2025_Track_Aces_171.jpg,,,
2025,HYX87,092,Dune It Up (2nd Color),Track Aces,2/5,,2025_Track_Aces_172.jpg,,,
2025,HYX36,093,1975 Datsun Sunny Truck (B120),HW Hot TrucksNew in Mainline,6/10,,2025_HW_Hot_TrucksNew_in_Mainline_173.jpg,,,
2025,JBC38,093,1975 Datsun Sunny Truck (B120),HW Hot TrucksNew in MainlineSuper Treasure Hunt,6/10,,2025_HW_Hot_TrucksNew_in_MainlineSu_174.jpg,,,
2025,HYX37,094,'99 Ford F-150 SVT Lightning,HW Hot Trucks,7/10,,2025_HW_Hot_Trucks_175.jpg,,,
2025,JBB53,094,'99 Ford F-150 SVT Lightning (2nd Color),HW Hot Trucks,7/10,,2025_HW_Hot_Trucks_176.jpg,,,
2025,JBC23,095,Pedal Driver,HW Ride-OnsTreasure Hunt,4/5,,2025_HW_Ride-OnsTreasure_Hunt_177.jpg,,,
2025,HYY54,096,'23 Ram 1500,HW Reverse Rake,2/5,,2025_HW_Reverse_Rake_178.jpg,,,
2025,HYX39,097,Mid Mill,Rod Squad,7/10,,2025_Rod_Squad_179.jpg,,,
2025,HYX79,097,Mid Mill (2nd Color),Rod Squad,7/10,,2025_Rod_Squad_180.jpg,,,
2025,HYW25,098,Hako Type D,HW J-ImportsNew for 2025!,4/5,,2025_HW_J-ImportsNew_for_2025!_181.jpg,,,
2025,HYX80,098,Hako Type D (2nd Color),HW J-ImportsNew for 2025!,4/5,,2025_HW_J-ImportsNew_for_2025!_182.jpg,,,
2025,HYX40,099,Cadillac Project GTP Hypercar,HW Exotics,1/5,,2025_HW_Exotics_183.jpg,,,
2025,HYY36,099,Cadillac Project GTP Hypercar (2nd Color - Zamac),HW ExoticsWalmart Exclusive,1/5,,2025_HW_ExoticsWalmart_Exclusive_184.jpg,,,
2025,HYX41,100,Porsche 904 Carrera GTS,HW Race Day,3/10,,2025_HW_Race_Day_185.jpg,,,
2025,HYY03,100,Porsche 904 Carrera GTS (2nd Color),HW Race Day,3/10,,2025_HW_Race_Day_186.jpg,,,
2025,JBC54,100,Porsche 904 Carrera GTS (3rd Color),HW Race Day,3/10,,2025_HW_Race_Day_187.jpg,,,
2025,HYY99,101,Chevy Super Volt,HW EV,7/10,,2025_HW_EV_188.jpg,,,
2025,HYX43,102,'76 Chevy Chevette,Compact Kings,3/10,,2025_Compact_Kings_189.jpg,,,
2025,HYX44,103,TV Series Batmobile,Batman,3/5,,2025_Batman_190.jpg,,,
2025,HYW26,104,Optimus Prime,HW Screen TimeNew for 2025!,6/10,,2025_HW_Screen_TimeNew_for_2025!_191.jpg,,,
2025,HYY50,105,RD-06,HW Designed By,4/5,,2025_HW_Designed_By_192.jpg,,,
2025,HYX82,105,RD-06 (2nd Color),HW Designed By,4/5,,2025_HW_Designed_By_193.jpg,,,
2025,HYY51,106,Sushi Tuner,Fast Foodie,2/5,,2025_Fast_Foodie_194.jpg,,,
2025,HYY52,107,Aston Martin DB4GT High-Speed Edition,HW Dream Garage,3/5,,2025_HW_Dream_Garage_195.jpg,,,
2025,JBC39,107,Aston Martin DB4GT High-Speed Edition,HW Dream GarageSuper Treasure Hunt,3/5,,2025_HW_Dream_GarageSuper_Treasure__196.jpg,,,
2025,HYW28,108,Slide-Burn,HW Dream GarageNew for 2025!,4/5,,2025_HW_Dream_GarageNew_for_2025!_197.jpg,,,
2025,HYX84,108,Slide-Burn (2nd Color),HW Dream GarageNew for 2025!,4/5,,2025_HW_Dream_GarageNew_for_2025!_198.jpg,,,
2025,HYY53,109,Power Rocket,X-Raycers,8/10,,,,,
2025,JBB69,109,Power Rocket (2nd Color),X-Raycers,8/10,,2025_X-Raycers_200.jpg,,,
2025,JBC24,110,Rig Storm,X-RaycersTreasure Hunt,9/10,,2025_X-RaycersTreasure_Hunt_201.jpg,,,
2025,HYX38,111,'58 Chevy Impala,Rod Squad,8/10,,2025_Rod_Squad_202.jpg,,,
2025,HYY55,112,Later Crater,HW Reverse Rake,3/5,,2025_HW_Reverse_Rake_203.jpg,,,
2025,JBB17,113,Ford Escort,Compact Kings,4/10,,2025_Compact_Kings_204.jpg,,,
2025,JBB99,113,Ford Escort (2nd Color),Compact Kings,4/10,,2025_Compact_Kings_205.jpg,,,
2025,HYW27,114,Drift-Ender,HW First Response New for 2025!,4/5,,2025_HW_First_Response_New_for_2025_206.jpg,,,
2025,HYY00,114,Drift-Ender (2nd Color),HW First Response New for 2025!,4/5,,2025_HW_First_Response_New_for_2025_207.jpg,,,
2025,JBB19,115,'75 Chevy Blazer Custom,HW DirtNew in Mainline,5/10,,2025_HW_DirtNew_in_Mainline_208.jpg,,,
2025,HYY01,115,'75 Chevy Blazer Custom (2nd Color),HW DirtNew in Mainline,5/10,,2025_HW_DirtNew_in_Mainline_209.jpg,,,
2025,HYY49,115,'75 Chevy Blazer Custom (3rd Color),Red EditionTarget Exclusive,12/12,,2025_Red_EditionTarget_Exclusive_210.jpg,,,
2025,HYY57,116,Slide Kick,Experimotors,1/10,,2025_Experimotors_211.jpg,,,
2025,,116,Slide Kick (2nd Color),Experimotors,1/10,,2025_Experimotors_212.jpg,,,
